日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
2010/4/1,3349.88,3436.29,3014.07,3067.37,1858454,1.30923E+11
2010/4/2,3005.49,3056.08,2647.6,2773.26,1310898.82,1.04966E+11
2010/4/3,2755.28,2795.32,2546.84,2563.07,872462.78,75156705600
2010/4/4,2557.92,2888.6,2462.2,2868.85,1220926.58,1.16706E+11
2010/4/5,2868.28,2975.19,2799.22,2903.19,1625275.74,1.46488E+11
2010/4/6,2907.66,2991.44,2829.76,2935.57,1549059.82,1.25562E+11
2010/4/7,2965.65,3499.82,2963.24,3379.98,3079602.77,2.26946E+11
2010/4/8,3390.41,3557.99,3060.44,3136.99,3291659.64,2.30228E+11
2010/4/9,3127.26,3282.77,3025.22,3128.26,2012646.55,1.4412E+11
2010/4/10,3155.56,3209.9,2919.16,3076.51,1641526.21,1.26575E+11
2010/4/11,3083.49,3269.05,3024.35,3239.56,1636709.14,1.2027E+11
2010/4/12,3241.71,3355.49,3147.96,3223.29,2578974.98,1.84527E+11
2010/4/13,3227.56,3380.53,3147.14,3192.72,1907675.98,1.48755E+11
2010/4/14,3192.85,3212.05,2942.36,3001.56,1204923.23,96853451600
2010/4/15,2996.09,3058.63,2862.41,3044.09,1217798.86,1.00672E+11
2010/4/16,3052.12,3140.1,2948.08,2972.08,1464336.52,1.16371E+11
2010/4/17,2969.11,2991.05,2697.06,2846.78,1242273.05,1.08356E+11
2010/4/18,2852.39,2869.25,2572.19,2581.35,754646.9,70228922600
2010/4/19,2588.35,2729.14,2500.49,2695.31,754469.27,76267972000
2010/4/20,2672.51,2781.99,2507.18,2521.52,1008919.25,95390851000
2010/4/21,2596.15,2630.66,2267.11,2345.74,677139.26,71362936200
2010/4/22,2361.5,2510.34,2254.57,2464.26,737817.94,74277262800
2010/4/23,2458.23,2693.84,2423.45,2634.14,1250579.51,1.20771E+11
2010/4/24,2622.74,2705.75,2429.73,2454.9,1377575.73,1.23263E+11
2010/4/25,2449.21,2643.77,2441.27,2626.16,928720.92,87020838000
2010/4/26,2660.67,2717.82,2545.34,2632.04,1305162.49,1.14069E+11
2010/4/27,2633.6,2653.86,2417.49,2461.61,852508.22,75711619600
2010/4/28,2473.54,2490.55,2329.5,2332.92,889566.53,82893580600
2010/4/29,2332.13,2413.42,2188.72,2204.87,786791.01,76700498000
2010/4/30,2201.12,2341.52,2172.88,2293.11,823537.39,90016977000
2010/5/1,2291.96,2347.89,2227.65,2254.82,610385.05,68276631800
2010/5/2,2256.61,2318.23,2109.96,2139.66,615120.71,70831020600
2010/5/3,2136.7,2522.95,2102.13,2522.95,1302837.16,1.42647E+11
2010/5/4,2551.81,2696.88,2473.7,2686.88,1739278.44,1.71845E+11
2010/5/5,2677.19,2791.3,2564.67,2673.33,1329706.72,1.2694E+11
2010/5/6,2671.84,2680.85,2482.49,2495.08,1508941.49,1.47862E+11
2010/5/7,2486.43,2542.45,2416.62,2447.31,954280.69,94348533200
2010/5/8,2434.6,2661.23,2423.08,2606.43,1491106.82,1.43662E+11
2010/5/9,2605.97,2625.94,2023.17,2200.64,1021665.44,1.1065E+11
2010/5/10,2187.09,2351.22,2149.79,2193.02,1387045.89,1.499E+11
2010/5/11,2206,2423.08,2200.63,2313.91,1474134.87,1.58209E+11
2010/5/12,2319.96,2527.38,2297.45,2409.04,1701308.38,1.8588E+11
2010/5/13,2406.42,2483.13,2327.9,2373.72,1411460.21,1.50785E+11
2010/5/14,2373.96,2460.56,2279.01,2438.94,1348555.46,1.42807E+11
2010/5/15,2423.97,2486.64,2259.57,2330.03,1282214.88,1.34591E+11
2010/5/16,2323.43,2325.99,2156.46,2202.45,1059754.01,1.11873E+11
2010/5/17,2187.34,2331.7,2133.55,2178.97,1262193.56,1.35691E+11
2010/5/18,2173.91,2194.22,2077.76,2146.3,1264032.25,1.46197E+11
2010/5/19,2143.72,2290.74,2131.78,2158.66,1172590.91,1.30384E+11
2010/5/20,2152.59,2185.05,2096.51,2156.46,800580.6,94277284800
2010/5/21,2157.64,2196.34,2117.31,2165.12,818299.29,91931584800
2010/5/22,2169.2,2350.55,2134.79,2350.25,1568007.91,1.83761E+11
2010/5/23,2341.23,2380.77,2309.64,2338.29,1812571.19,2.0649E+11
2010/5/24,2340.93,2462.67,2338.53,2450.99,2208334.02,2.49498E+11
2010/5/25,2460.87,2512.19,2361.68,2508.32,1951336.6,2.3108E+11
2010/5/26,2515.82,2809.54,2482.98,2808.82,3627741.65,4.16076E+11
2010/5/27,2825.61,3542.34,2804.29,3533.71,10016975.58,9.24954E+11
2010/5/28,3566.09,3689.75,3325.68,3434.39,7003939.92,5.67362E+11
2010/5/29,3360.19,3594.81,3285.94,3572.84,3487824.51,2.8045E+11
2010/5/30,3603.45,4166.02,3417.49,4051.2,8733484.98,6.84358E+11
